step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,holding_peak_nm,moving_modules
1,3,1,in,2.0,0,1,120.0,True,0.5834,0.0000,3
2,23,1,out,2.0,0,1,120.0,True,0.6594,0.2974,3
