step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,4,-1,in,2.0,0,-1,-120.0,True,1.2374,0.3984,0.0
2,7,-1,in,2.0,0,-1,-120.0,True,1.9977,0.3984,0.0
3,10,-1,in,2.0,0,-1,-120.0,True,1.8779,0.3984,0.0
4,13,-1,out,2.0,0,-1,-120.0,True,0.6594,0.3984,0.0
5,5,-1,in,2.0,0,-1,-120.0,True,1.6728,0.3984,0.0
6,1,1,out,2.0,0,1,120.0,True,5.7645,0.3984,12.7872
7,1,-1,in,2.0,1,0,0.0,True,0.1068,0.3984,0.0
8,10,1,out,2.0,-1,0,0.0,True,1.6543,0.3984,0.0
9,11,-1,out,2.0,0,-1,-120.0,True,1.6677,0.3984,0.0
