step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,0,-1,in,2.0,0,-1,-120.0,True,0.0,0.3984,0.0
2,4,-1,in,2.0,0,-1,-120.0,True,1.2374,0.3984,0.0
3,15,1,out,2.0,0,1,120.0,True,8.1492,0.3984,0.0
4,5,-1,in,2.0,0,-1,-120.0,True,1.6834,0.3984,0.0
5,21,1,out,2.0,0,1,120.0,True,1.8709,0.3984,0.0
6,22,1,out,2.0,0,1,120.0,True,1.2374,0.3984,0.0
7,15,-1,out,2.0,1,0,0.0,True,5.303,0.3984,0.0
8,16,1,out,2.0,0,1,120.0,True,4.1456,0.3984,0.0
9,18,-1,out,2.0,0,-1,-120.0,True,1.2191,0.3984,0.0
10,17,-1,out,2.0,0,-1,-120.0,True,1.5511,0.3984,0.0
11,15,1,out,2.0,0,1,120.0,True,5.2229,0.3984,0.0
12,12,-1,in,2.0,0,-1,-120.0,True,6.3686,0.3984,0.0
13,11,-1,in,2.0,0,-1,-120.0,True,5.5721,0.3984,0.0
14,10,-1,in,2.0,0,-1,-120.0,True,3.4304,0.3984,0.0
15,9,1,in,2.0,0,1,120.0,True,2.2677,0.3984,0.0
16,12,1,in,2.0,-1,0,0.0,True,4.2891,0.3984,0.0
17,24,1,out,2.0,0,1,120.0,True,0.3248,0.3984,0.0
18,10,1,in,2.0,-1,0,0.0,True,3.9281,0.3984,0.0
19,24,-1,out,2.0,1,0,0.0,True,0.3248,0.3984,0.0
